"year","month","day","hour","avg_wind_speed"
"2010","1","16","11","1.6716666666666667"
"2010","1","16","12","1.9958333333333333"
"2010","1","16","13","2.1808333333333333"
"2010","1","16","14","4.1733333333333333"
"2010","1","16","15","3.5725000000000000"
"2010","1","16","16","4.1133333333333333"
"2010","1","16","17","4.4841666666666667"
"2010","1","16","18","3.4483333333333333"
"2010","1","16","19","1.8725000000000000"
"2010","1","16","20","1.9808333333333333"
"2010","1","16","21","1.3908333333333333"
"2010","1","16","22","2.1183333333333333"
"2010","1","16","23","2.1041666666666667"
"2010","1","16","24","1.5766666666666667"
"2010","1","17","1","1.8100000000000000"
"2010","1","17","2","1.1908333333333333"
"2010","1","17","3","1.3283333333333333"
"2010","1","17","4","2.1333333333333333"
"2010","1","17","5","1.5308333333333333"
"2010","1","17","6","1.5758333333333333"
"2010","1","17","7","2.5833333333333333"
"2010","1","17","8","2.2425000000000000"
"2010","1","17","9","2.2891666666666667"
"2010","1","17","10","2.0266666666666667"
"2010","1","17","11","1.8075000000000000"
"2010","1","17","12","2.7991666666666667"
"2010","1","17","13","3.6500000000000000"
"2010","1","17","14","4.0650000000000000"
"2010","1","17","15","3.8350000000000000"
"2010","1","17","16","3.5400000000000000"
"2010","1","17","17","2.9983333333333333"
"2010","1","17","18","2.9841666666666667"
"2010","1","17","19","3.0458333333333333"
"2010","1","17","20","1.6850000000000000"
"2010","1","17","21","3.3691666666666667"
"2010","1","17","22","2.1025000000000000"
"2010","1","17","23","1.6233333333333333"
"2010","1","17","24","2.3041666666666667"
"2010","1","18","1","1.9950000000000000"
"2010","1","18","2","1.3308333333333333"
"2010","1","18","3","1.4083333333333333"
"2010","1","18","4","0.21916666666666666667"
"2010","1","18","5","0.68000000000000000000"
"2010","1","18","6","0.52666666666666666667"
"2010","1","18","7","0.95833333333333333333"
"2010","1","18","8","1.1600000000000000"
"2010","1","18","9","0.77333333333333333333"
"2010","1","18","10","1.5291666666666667"
"2010","1","18","11","1.2533333333333333"
"2010","1","18","12","2.0258333333333333"
"2010","1","18","13","1.4075000000000000"
"2010","1","18","14","1.7466666666666667"
"2010","1","18","15","1.7766666666666667"
"2010","1","18","16","3.0316666666666667"
"2010","1","18","17","2.3350000000000000"
"2010","1","18","18","0.92833333333333333333"
"2010","1","18","19","0.69666666666666666667"
"2010","1","18","20","0.63416666666666666667"
"2010","1","18","21","0.32583333333333333333"
"2010","1","18","22","0.58833333333333333333"
"2010","1","18","23","0.61916666666666666667"
"2010","1","18","24","0.66500000000000000000"
"2010","1","19","1","0.49500000000000000000"
"2010","1","19","2","0.92750000000000000000"
"2010","1","19","3","0.60250000000000000000"
"2010","1","19","4","0.78916666666666666667"
"2010","1","19","5","0.78916666666666666667"
"2010","1","19","6","0.43333333333333333333"
"2010","1","19","7","0.57250000000000000000"
"2010","1","19","8","0.51083333333333333333"
"2010","1","19","9","1.1758333333333333"
"2010","1","19","10","1.6075000000000000"
"2010","1","19","11","3.5100000000000000"
"2010","1","19","12","4.2208333333333333"
"2010","1","19","13","4.0683333333333333"
"2010","1","19","14","4.7150000000000000"
