"year","month","day","cardinal_direction","speed_bin","cumulative_percent_frequency"
"2010","1","16","E",2,"16.6666666666666667"
"2010","1","16","E",3,"33.3333333333333334"
"2010","1","16","N",1,"0.94339622641509433962"
"2010","1","16","N",2,"1.88679245283018867924"
"2010","1","16","N",3,"2.83018867924528301886"
"2010","1","16","N",4,"3.77358490566037735848"
"2010","1","16","N",5,"4.71698113207547169810"
"2010","1","16","N",6,"5.66037735849056603772"
"2010","1","16","NE",1,"2.0833333333333333"
"2010","1","16","NE",2,"4.1666666666666666"
"2010","1","16","NE",3,"6.2499999999999999"
"2010","1","16","NE",4,"8.3333333333333332"
"2010","1","16","NE",5,"10.4166666666666665"
"2010","1","16","NE",6,"12.4999999999999998"
"2010","1","16","NW",1,"100.0000000000000000"
"2010","1","16","SE",1,"100.0000000000000000"
"2010","1","17","N",1,"0.45045045045045045045"
"2010","1","17","N",2,"0.90090090090090090090"
"2010","1","17","N",3,"1.35135135135135135135"
"2010","1","17","N",4,"1.80180180180180180180"
"2010","1","17","N",5,"2.25225225225225225225"
"2010","1","17","N",6,"2.70270270270270270270"
"2010","1","17","NE",1,"1.6129032258064516"
"2010","1","17","NE",2,"3.2258064516129032"
"2010","1","17","NE",3,"4.8387096774193548"
"2010","1","17","NE",4,"6.4516129032258064"
"2010","1","17","NE",5,"8.0645161290322580"
"2010","1","17","NW",1,"25.0000000000000000"
"2010","1","17","NW",2,"50.0000000000000000"
"2010","1","18","E",1,"5.5555555555555556"
"2010","1","18","E",2,"11.1111111111111112"
"2010","1","18","E",3,"16.6666666666666668"
"2010","1","18","E",4,"22.2222222222222224"
"2010","1","18","N",1,"0.91743119266055045872"
"2010","1","18","N",2,"1.83486238532110091744"
"2010","1","18","N",3,"2.75229357798165137616"
"2010","1","18","NE",1,"3.2258064516129032"
"2010","1","18","NE",2,"6.4516129032258064"
"2010","1","18","NE",3,"9.6774193548387096"
"2010","1","18","NW",1,"2.3809523809523810"
"2010","1","18","NW",2,"4.7619047619047620"
"2010","1","18","NW",3,"7.1428571428571430"
"2010","1","18","S",1,"6.6666666666666667"
"2010","1","18","S",2,"13.3333333333333334"
"2010","1","18","S",3,"20.0000000000000001"
"2010","1","18","S",4,"26.6666666666666668"
"2010","1","18","S",5,"33.3333333333333335"
"2010","1","18","SE",1,"3.2258064516129032"
"2010","1","18","SE",2,"6.4516129032258064"
"2010","1","18","SE",3,"9.6774193548387096"
"2010","1","18","SE",4,"12.9032258064516128"
"2010","1","18","SW",1,"10.0000000000000000"
"2010","1","18","W",1,"5.5555555555555556"
"2010","1","19","E",1,"0.82644628099173553719"
"2010","1","19","E",2,"1.65289256198347107438"
"2010","1","19","E",3,"2.47933884297520661157"
"2010","1","19","E",4,"3.30578512396694214876"
"2010","1","19","E",5,"4.13223140495867768595"
"2010","1","19","E",6,"4.95867768595041322314"
"2010","1","19","E",7,"5.78512396694214876033"
"2010","1","19","N",1,"5.2631578947368421"
"2010","1","19","NE",1,"5.0000000000000000"
"2010","1","19","NE",2,"10.0000000000000000"
"2010","1","19","NE",3,"15.0000000000000000"
"2010","1","19","NE",5,"20.0000000000000000"
"2010","1","19","NW",1,"4.7619047619047619"
"2010","1","19","NW",2,"9.5238095238095238"
"2010","1","19","S",1,"12.5000000000000000"
"2010","1","19","S",2,"25.0000000000000000"
"2010","1","19","SE",1,"1.1764705882352941"
"2010","1","19","SE",2,"2.3529411764705882"
"2010","1","19","SE",3,"3.5294117647058823"
"2010","1","19","SE",4,"4.7058823529411764"
"2010","1","19","SE",5,"5.8823529411764705"
"2010","1","19","SE",6,"7.0588235294117646"
"2010","1","19","SE",7,"8.2352941176470587"
"2010","1","19","SW",1,"50.0000000000000000"
"2010","1","19","W",1,"14.2857142857142857"
"2010","1","20","E",1,"1.5873015873015873"
"2010","1","20","E",2,"3.1746031746031746"
"2010","1","20","E",3,"4.7619047619047619"
"2010","1","20","E",4,"6.3492063492063492"
"2010","1","20","E",5,"7.9365079365079365"
"2010","1","20","N",1,"5.2631578947368421"
"2010","1","20","N",2,"10.5263157894736842"
"2010","1","20","N",3,"15.7894736842105263"
"2010","1","20","NE",1,"3.4482758620689655"
"2010","1","20","NE",2,"6.8965517241379310"
"2010","1","20","NE",3,"10.3448275862068965"
"2010","1","20","NW",1,"9.0909090909090909"
"2010","1","20","S",1,"20.0000000000000000"
"2010","1","20","S",2,"40.0000000000000000"
"2010","1","20","SE",1,"0.76923076923076923077"
"2010","1","20","SE",2,"1.53846153846153846154"
"2010","1","20","SE",3,"2.30769230769230769231"
"2010","1","20","SE",4,"3.07692307692307692308"
"2010","1","20","SE",5,"3.84615384615384615385"
"2010","1","20","SE",6,"4.61538461538461538462"
"2010","1","20","SW",1,"10.0000000000000000"
"2010","1","20","W",1,"16.6666666666666667"
"2010","1","21","E",1,"1.9230769230769231"
"2010","1","21","E",2,"3.8461538461538462"
"2010","1","21","E",3,"5.7692307692307693"
"2010","1","21","N",1,"2.9411764705882353"
"2010","1","21","N",2,"5.8823529411764706"
"2010","1","21","N",3,"8.8235294117647059"
"2010","1","21","N",4,"11.7647058823529412"
"2010","1","21","NE",1,"1.8181818181818182"
"2010","1","21","NE",2,"3.6363636363636364"
"2010","1","21","NE",3,"5.4545454545454546"
"2010","1","21","NE",4,"7.2727272727272728"
"2010","1","21","NE",5,"9.0909090909090910"
"2010","1","21","NW",1,"4.7619047619047619"
"2010","1","21","NW",2,"9.5238095238095238"
"2010","1","21","NW",3,"14.2857142857142857"
"2010","1","21","NW",4,"19.0476190476190476"
"2010","1","21","S",1,"7.1428571428571429"
"2010","1","21","S",2,"14.2857142857142858"
"2010","1","21","S",3,"21.4285714285714287"
"2010","1","21","SE",1,"1.4925373134328358"
"2010","1","21","SE",2,"2.9850746268656716"
"2010","1","21","SE",3,"4.4776119402985074"
"2010","1","21","SW",1,"4.7619047619047619"
"2010","1","21","SW",2,"9.5238095238095238"
"2010","1","21","SW",3,"14.2857142857142857"
"2010","1","21","W",1,"6.2500000000000000"
"2010","1","21","W",2,"12.5000000000000000"
"2010","1","21","W",3,"18.7500000000000000"
"2010","1","22","E",1,"1.3333333333333333"
"2010","1","22","E",2,"2.6666666666666666"
"2010","1","22","E",3,"3.9999999999999999"
"2010","1","22","E",4,"5.3333333333333332"
"2010","1","22","E",5,"6.6666666666666665"
"2010","1","22","E",6,"7.9999999999999998"
"2010","1","22","N",1,"1.7543859649122807"
"2010","1","22","N",2,"3.5087719298245614"
"2010","1","22","N",3,"5.2631578947368421"
"2010","1","22","NE",1,"2.5641025641025641"
"2010","1","22","NE",2,"5.1282051282051282"
"2010","1","22","NE",3,"7.6923076923076923"
"2010","1","22","NE",4,"10.2564102564102564"
"2010","1","22","NW",1,"4.0000000000000000"
"2010","1","22","NW",2,"8.0000000000000000"
"2010","1","22","S",1,"7.6923076923076923"
"2010","1","22","S",2,"15.3846153846153846"
"2010","1","22","SE",1,"1.8181818181818182"
"2010","1","22","SE",2,"3.6363636363636364"
"2010","1","22","SE",3,"5.4545454545454546"
"2010","1","22","SE",4,"7.2727272727272728"
"2010","1","22","SE",5,"9.0909090909090910"
"2010","1","22","SE",6,"10.9090909090909092"
"2010","1","22","SW",1,"50.0000000000000000"
"2010","1","22","W",1,"14.2857142857142857"
"2010","1","23","E",1,"3.2258064516129032"
"2010","1","23","E",2,"6.4516129032258064"
"2010","1","23","E",3,"9.6774193548387096"
"2010","1","23","N",1,"10.0000000000000000"
"2010","1","23","N",2,"20.0000000000000000"
"2010","1","23","N",3,"30.0000000000000000"
"2010","1","23","NE",1,"3.8461538461538462"
"2010","1","23","NE",2,"7.6923076923076924"
"2010","1","23","NE",3,"11.5384615384615386"
"2010","1","23","NW",1,"5.0000000000000000"
"2010","1","23","NW",2,"10.0000000000000000"
